arrival,elevation
Rokytov,310
Smilno,425
Snakov,450
Stebnícka Huta,505
Elab,3
"West Point, Indiana",205
"Bayville, New Jersey",11
Changtu,152
Stebník,377
Stuľany,220
Tivenys,13
Mramorak,109
Debeljača,75
San Cayetano,235
Veliki Grđevac,146
Bonete,892
Biche,42
Sveržov,345
Tarnov,330
Varadka,409
Vyšná Polianka,452
Vyšná Voľa,325
Vyšný Kručov,200
Vyšný Tvarožec,495
Tročany,345
Vaniškovce,400
Šarišské Čierne,368
Šašová,255
Šiba,400
Zlaté,380
Hankovce,250
Janovce,366
Kochanovce,241
Porúbka,200
Lipová,286
Baškovce,194
Černina,264
Cernina,323
Dedačov,209
Gruzovce,178
Hankovce,182
Tulin,264
Hažín nad Cirochou,167
Hrabovec nad Laborcom,211
Hrubov,306
Meybod,1234
"EskDale, Utah",1519
Hudcovce,136
Jankovce,178
Torroella de Montgrí,31
Krishnarajanagara,786
Podolany,85
Lasinja,138
Saborsko,607
Paratwada,369
Lolol,92
Jabloň,206
Jasenov,157
Kamenica nad Cirochou,184
Kamienka,230
Karná,188
Kochanovce,157
Sölden,1368
Narasapuram,2
Dunlavin,158
Avinashi,356
Kavilumpara,1504
Košarovce,180
Lieskovec,160
Koškovce,192
Lukačovce,165
Ľubiša,164
Modra nad Cirochou,207
Myslina,190
Tomahawk,765
Hraničky,696
Bally,15
Nechválova Polianka,294
Maškovce,228
Veliko Središte,121
Velehrad,219
Kapel,11
Singrauli,463
Handlová,465
Holíč,180
Nižná Jablonka,303
Nižná Sitnica,187
Nižné Ladičkovce,198
Legnava,449
Fuente Vaqueros,543
Stockerau,176
Margita,79
Pakostov,188
Papín,260
Dehradun Cantonment,460
Porúbka,310
Prituľany,233
Ptičie,215
Buenavista Municipality,450
Rohožník,226
Rokytov pri Humennom,231
Rovné,190
Ruská Kajňa,203
Ruská Poruba,236
Slovenská Volová,165
Altaussee,712
Slovenské Krivé,261
Sopkovce,205
Topoľovka,157
Turcovce,233
Udavské,165
Krasnoilsk,409
Nieuw-Amsterdam,15
Rechnitz,366
Daman,5
Ashok Nagar,55
Annamoe,180
Garissa County,1138
Frankenfels,464
Veľopolie,185
Víťazovce,168
Vyšná Jablonka,361
Vyšná Sitnica,195
Vyšné Ladičkovce,230
Závada,300
Závadka,152
Vyšný Hrušov,185
Zbudské Dlhé,199
Zubné,233
Abrahámovce,267
Abrahámovce,739
Bušovce,592
Červený Kláštor,462
Zálesie,130
Havka,627
Holumnica,594
Vatin,82
Jabuka,79
Šurjan,82
"Pleasant Plains, New Jersey",29
Karimannoor,60
Baganuur District,1500
Nalaikh District,1459
Milltown Malbay,20
Mullagh,107
Mullagh,60
Boňkov,540
Amli,26
Važec,788
Gánovce,642
Sutjeska,53
Bánica,287
La Candelaria,2600
El Oso,893
Amajari,100
Bonfim,92
Caracaraí,52
Normandia,100
Pacaraima,920
Rorainópolis,98
Uiramutã,804
Štrba,1020
Hradisko,840
Huncovce,639
Montijo,201
Bhagat Singh Road,4
Ihľany,684
Aron,505
Vlčnov,226
Well,17
Wattens,564
Javkhede,217
Jezersko,795
Jurské,640
Krížová Ves,616
Lechnica,485
Lendak,744
Ľubica,629
Majere,466
Výborná,701
Vojňany,666
Matiašovce,544
Mlynčeky,680
Stará Lesná,731
Malá Franková,750
Stráne pod Tatrami,693
Deliblato,94
Faridpur,215
Govindgarh,362
Malý Slavkov,652
Spišské Hanušovce,593
Veľká Franková,658
Veľká Lomnica,647
Slovenská Ves,647
Osturňa,723
Rakúsy,676
Spišská Belá,622
Spišská Stará Ves,487
Saalbach-Hinterglemm,1003
Brutovce,864
Mandwala,137
Spišský Štvrtok,546
Brestov nad Laborcom,218
Habura,376
Kajtasovo,66
Crvena Crkva,72
Palota,439
Kaluđerovo,121
Vračev Gaj,69
Jablanka,153
Zagajica,115
Radvaň nad Laborcom,223
Jarkovac,50
Baran,262
Nasirabad,429
Sambhar Lake Town,367
Zbojné,262
Valentovce,330
Repejov,284
Arancón,1065
Rokytovce,343
Roškovce,357
Volica,247
Krásny Brod,292
Oľka,244
Oľšinkov,443
Výrava,357
Sukov,290
Svetlice,326
Ňagov,355
Čabalovce,383
Čertižné,438
Čabiny,253
Schwadorf,163
Sabalito,900
Valadi,57
Lillo,684
Józefów,94
Uljma,89
Ramdevra,230
Tulbagh,180
Aonla,237
Bishnupur,9
Donard,180
Chakia,52
Chakia,78
Chakan,646
Giraltovce,207
Yedeyur,743
Radinovo,172
Basavana Bagewadi,607
Stará Turá,386
Kalekovets,161
Voisil,184
Hariss,720
Hôrka,600
Liptovská Teplička,900
Ramsin,203
Haimen,4
Siwana,184
Lučivná,771
Mengusovce,807
Mlynica,681
Nová Lesná,748
Karuvannoor,697
Spišské Bystré,673
Spišský Štiavnik,563
Tatranská Javorina,993
Veľký Slavkov,683
Vernár,765
Vikartovce,751
Vydrník,601
Švábovce,676
Šuňava,854
Štôla,853
Abranovce,446
Bajerov,349
Bertotovce,408
Bretejovce,215
Brežany,367
Bzenov,304
Fričovce,452
Hendrichovce,427
Hermanovce,465
Hrabkov,446
Chmiňany,379
Chminianska Nová Ves,423
Klenov,560
Mühlbach am Hochkönig,860
Nemšová,245
Srpski Itebej,70
Šaštín-Stráže,170
Droß,394
Lipany,387
Peelamedu,418
"Eastvale, California",191
Turzovka,522
Krásno nad Kysucou,392
Brezová pod Bradlom,265
Rajec,448
Štós,516
Sládkovičovo,120
Gbely,172
Hanušovce nad Topľou,197
Nováky,242
Podolínec,565
Rajecké Teplice,411
Rajam,61
Lažany,383
Lazany,313
Banské,327
Islampur,63
Lipovce,622
Benkovce,138
Miklušovce,473
Bystré,175
Cabov,217
Ondrašovce,460
Čaklov,134
Čičava,156
Ovčie,488
Čierne nad Topľou,158
Detrík,345
Dlhé Klčovo,114
Ďapalovce,193
Ďurďoš,170
Giglovce,149
Girovce,143
Hencovce,122
Hermanovce nad Topľou,295
Rokycany,308
Ruská Nová Ves,430
Sedlice,439
Hlinné,151
Holčíkovce,153
Suchá Dolina,150
Jastrabie nad Topľou,141
Juskova Voľa,248
Kladzany,121
Komárany,135
Kvakovce,200
Majerovce,135
Malá Domaša,140
Matiaška,220
Medzianky,240
Merník,176
Michalok,262
Tovarnianska Polianka,140
Vavrinec,281
Piskorovce,244
Radvanovce,360
Rafajovce,185
Vechec,184
Petkovce,205
Remeniny,180
Rudlov,192
Soľ,143
Ondavské Matiašovce,133
Nižný Hrušov,120
Nižný Kručov,133
Belejovce,454
Nová Kelča,180
Poša,125
Prosačov,190
Sečovská Polianka,130
Víťaz,474
Slovenská Kajňa,140
Štefanovce,215
Ruská Voľa,300
Sačurov,129
Sedliská,138
Skrabské,159
Tovarné,140
Vlača,200
Zlatá Baňa,544
Šarišská Trstená,403
Šarišské Bohdanovce,217
Široké,562
Žipov,391
Beňadikovce,238
Mestisko,254
Vyšný Komárnik,434
Ladomirová,263
Roztoky,374
Radoma,260
Hunkovce,294
Medvedie,365
Vagrinec,269
Kobylnice,209
Cigla,329
Dukovce,260
Matovce,196
Kurimka,321
Nová Polianka,344
Šarišský Štiavnik,229
Havranec,385
Puerto Viejo,37
Nižný Komárnik,370
Valkovce,220
Dlhoňa,355
Dubová,317
Fijaš,240
Korejovce,324
Rovné,327
Hrabovčík,264
Jurkova Voľa,295
Kalnište,184
Kapišová,259
Kečkovce,383
Kračúnovce,198
Krajná Bystrá,363
Krajná Poľana,326
Krajná Porúbka,414
Straža,79
Krajné Čierno,318
Kružlová,282
Kuková,205
Lúčka,200
Lužany pri Topli,180
Mičakovce,179
Miroľa,382
Mlynárovce,281
Segura de la Sierra,1145
Nižná Jedľová,286
Nižná Pisaná,321
Nižný Mirošov,302
Nižný Orlík,257
Okrúhle,220
Pstriná,325
Rakovčík,222
Avonbank,328
Soboš,216
Stročín,213
Šemetkovce,356
Svidnička,317
Šarbov,446
Štefurov,230
Vápeník,402
Vyšná Jedľová,312
Vyšná Pisaná,364
Vyšný Mirošov,345
Vyšný Orlík,264
Železník,180
Želmanovce,238
Daletice,504
Jarovnice,422
Kamenica,483
Baňa,415
Breznica,176
Breznička,235
Brusnica,191
Ražňany,350
Brezovec,269
Dlhé nad Cirochou,185
Vislava,260
Vojtovce,211
Potoky,246
Kolbovce,211
Havaj,274
Hostovice,358
Makovce,255
Čukalovce,396
Turany nad Ondavou,176
Varechovce,318
Hrabová Roztoka,389
Bukovce,235
Gribov,278
Zemplínske Hámre,346
Korunková,263
Vyšná Olšava,204
Stakčínska Roztoka,359
Parihuzovce,445
Uličské Krivé,278
Vyšný Hrabovec,176
Kožuchovce,340
Strihovce,425
Krišľovce,275
Ladomirov,308
Vyškovce,217
Kalná Roztoka,268
Chotča,217
Dúbrava,255
Bystrá,379
Bžany,172
Ruská Volová,248
Duplín,197
Jakušovce,265
Kručov,202
Krušinec,212
Lomné,170
Malá Poľana,327
Miková,369
Nižná Olšava,175
Veľkrop,283
Miňovce,168
Mrázovce,231
Potôčky,254
Soľník,288
Staškovce,271
Šandal,252
Tokajík,211
Vladiča,349
Jalová,339
Klenová,249
Kolonica,358
Dolné Naštice,203
Michajlov,243
Ruský Potok,428
Stakčín,252
Osadné,382
Pčoliné,290
Príslop,432
Topoľa,381
Ulič,249
Šmigovec,321
Chmeľnica,521
Kamienka,588
Dubnička,255
Haláčovce,217
Horné Naštice,220
Nová Ľubovňa,562
Veľký Lipník,569
Bolešov,241
Pusté Pole,530
Stráňany,640
Sulín,425
Brestovec,110
Šambron,671
Vyšné Ružbachy,625
Horná Poruba,410
Borčice,228
Červený Kameň,357
Kameničany,233
Košeca,253
Košecké Podhradie,379
Krivoklát,322
Ladce,250
Mikušovce,308
Pruské,242
Sedmerovec,244
Slavnica,295
Tuchyňa,275
Vršatské Podhradie,659
Zliechov,562
Bukovec,360
Hrašné,333
Kostolné,280
Košariská,328
Krajné,267
Podkylava,245
Polianka,416
Poriadie,429
Priepasné,430
Stará Myjava,410
Vrbovce,341
Rudník,345
Brestovec,387
Bodiná,411
Beckov,190
Plevník-Drienové,304
Pružina,420
Čelkova Lehota,449
Dolná Mariková,427
Brvnište,360
Horná Mariková,530
Višňové,208
Horný Lieskov,355
Dolný Lieskov,318
Bošáca,330
Vrchteplá,520
Kostolec,495
Domaniža,382
Ďurďové,381
Bošany,177
Hatné,313
Jasenica,312
Klieština,360
Malé Lednice,425
Papradno,498
Počarová,383
Prečín,400
Sádočné,420
Slopná,309
Bystričany,239
Stupné,330
Udiča,306
Záskalie,397
Horná Ves,318
Trenčianske Bohuslavice,196
Chvojnica,384
Chvojnica,484
Bzince pod Javorinou,292
Brunovce,172
Hôrka nad Váhom,197
Nová Ves nad Váhom,181
Zemianske Podhradie,244
Hradište,297
Vaďovce,230
Hradište,212
Stará Lehota,326
Častkovce,177
Dolné Srnie,222
Haluzice,266
Hrádok,196
Hrachovište,210
Wangjing ,766
Kálnica,223
Kočovce,184
Lubina,313
Wani,228
Lúka,174
Modrová,199
Modrovka,171
Moravské Lieskové,301
Nová Bošáca,302
Očkov,166
Pobedim,167
Nevidzany,179
Podolie,177
Nevidzany,406
Potvorice,177
Považany,176
Podhradie,549
Brodzany,192
Chynorany,175
Žabokreky nad Nitrou,192
Nedanovce,180
Ostratice,182
Nadlice,182
Dohňany,289
Klátova Nová Ves,198
Livina,196
Livinské Opatovce,200
Ješkova Ves,215
Horovce,249
Kolačno,238
Krásno,189
Dolná Breznica,297
Malé Kršteňany,207
Dolné Kočkovce,262
Malé Uherce,211
Pažiť,202
Skačany,205
Turčianky,230
Veľké Kršteňany,215
Veľké Uherce,219
Veľký Klíž,244
Horná Breznica,334
Kvašov,252
Lazy pod Makytou,380
Lednica,404
Kamenec pod Vtáčnikom,276
Lehota pod Vtáčnikom,384
Nedožery-Brezany,300
Nitrianske Rudno,318
Nitrianske Sučany,310
Nitrica,246
Opatovce nad Nitrou,270
Oslany,274
Diviaky nad Nitricou,290
Diviacka Nová Ves,266
Dolné Vestenice,223
Horné Vestenice,255
Chrenovec-Brusno,335
Zemianske Kostoľany,232
Cigeľ,450
Čavoj,580
Čereňany,258
Dlžín,396
Kanianka,372
Kľačno,400
Kocurany,310
Kostolná Ves,358
Koš,270
Liešťany,343
Lipník,333
Malá Čausa,350
Poluvsie,310
Poruba,410
Pravenec,324
Sebedražie,335
Tužina,360
Veľká Čausa,320
Lednické Rovne,278
Lysá pod Makytou,415
Záriečie,323
Mestečko,321
Streženice,254
Vydrná,345
Lúky,345
Mojtín,636
Zubák,430
Chudá Lehota,223
Uhrovské Podhradie,340
Miezgovce,244
Veľké Chlievany,198
Timoradza,235
Žitná-Radiša,271
Prusy,222
Ľutov,248
Malá Hradná,290
Malé Hoste,276
Nedašovce,202
Omastiná,300
Otrhánky,215
Pečeňany,190
Ruskovce,227
Šípkov,322
Šišov,220
Veľké Držkovce,243
Veľké Hoste,230
Vysočany,129
Zlatníky,265
Bojničky,193
Dubodiel,390
Horná Súča,429
Melčice-Lieskové,202
Mníchova Lehota,260
Omšenie,325
Skalka nad Váhom,233
Soblahov,280
Trenčianska Turná,228
Kostolné Kračany,116
Dobrohošť,122
Dolný Bar,114
Dolný Štál,112
Okoč,112
Orechová Potôň,118
Kausani,1890
"Jalalabad, Bijnor",133
Jalalabad,176
Jalalabad (Parashurampuri),133
"Jalalabad, Shamli",133
Banka,177
Bílkove Humence,242
Brodské,160
Oreské,244
Jalna,508
Čierna Voda,117
Čierny Brod,118
Dolné Saliby,115
Jalovec,348
Dolný Chotár,110
Vinohrady nad Váhom,170
Vozokany,115
Gáň,121
Horné Saliby,115
Jamník,459
Veľký Grob,130
Veľké Úľany,119
Pata,138
Hoste,125
Tomášikovo,114
Šalgočka,150
Šoporňa,122
Šintava,139
Jánovce,120
Jelka,121
Baláže,538
Kajal,117
Košúty,120
Kráľov Brod,112
Matúškovo,118
Mostová,117
Pusté Sady,135
Pusté Úľany,124
Topoľnica,116
Trstice,111
Váhovce,123
Veľká Mača,123
Červeník,144
Belá-Dulice,512
Dolné Otrokovce,185
Dolné Trhovište,185
Dolné Zelenice,135
Dvorníky,163
Horné Otrokovce,208
Horné Trhovište,211
Merašice,172
Horné Zelenice,137
Jalšové,161
Kľačany,169
Koplotovce,159
Ratkovce,145
Sasinkovo,195
Siladice,137
Tekolďany,203
Tepličky,217
Trakovice,143
Žlkovce,144
Borovce,161
Drahovce,150
Hubina,222
Dubovany,154
Chtelnica,199
Ostrov,163
Krakovany,163
Rakovice,160
Trebatice,165
Ratnovce,156
Sokolovce,154
Moravany nad Váhom,174
Kočín-Lančár,226
Šípkové,217
Šterusy,209
Veselé,157
Dolný Lopašov,206
Veľké Kostoľany,153
Pečeňady,154
Prašník,226
Veľké Orvište,163
Borský Mikuláš,197
Sekule,158
Rohov,240
Kuklov,160
Jablonica,209
Cerová,303
Čáry,167
Častkov,382
Dojč,182
Hlboké,256
Hradište pod Vrátnom,233
Koválov,210
Kúty,156
Lakšárska Nová Ves,233
Moravský Svätý Ján,152
Osuské,218
Plavecký Peter,222
Šajdíkove Humence,192
Štefanov,187
Rybky,213
Rovensko,216
Prievaly,245
Sobotište,266
Podbranč,288
Smrdáky,237
Smolinské,190
Prietrž,293
Hrochoť,622
Badín,369
Hiadeľ,487
Čerín,395
Dubovce,210
Petrova Ves,206
Trnovec,178
Radimov,256
Popudinské Močidľany,190
Kátov,164
Kopčany,163
Koválovec,254
Letničie,213
Lopašov,265
Mokrý Háj,263
Bešeňová,514
Prietržka,178
Radošovce,224
Unín,276
Vrádište,170
Lúčky,596
Abramová,478
Dolná Mičiná,389
Petrovice,371
Kotešová,343
Dolný Harmanec,440
Súľov-Hradná,418
Dúbravica,428
Zuberec,762
Štiavnik,496
Nižná,180
Horné Pršany,641
Nižná,584
Hronsek,309
Makov,583
Oščadnica,463
Svrčinovec,432
Nová Bystrica,593
Raková,430
Skalité,526
Staškov,444
Krivá,550
Veličná,484
Leštiny,581
Párnica,455
Kamenná Poruba,150
Višňové,448
Lodno,473
Rudinka,348
Ochodnica,400
Lopušné Pažite,675
Nesluša,410
Horný Vadičov,485
Habovka,736
Hladovka,747
Liesek,631
Vitanová,699
Podbiel,559
Suchá Hora,798
Divina,410
Divinka,327
Lietava,445
Lietavská Svinná-Babkov,448
Kunerad,499
Izbište,100
Potporanj,84
Vojvodinci,74
Orešac,73
Meacham,1126
Rambha,87
Radhanagore,12
Petronell-Carnuntum,175
Bukovec,351
Varín,358
Liptovské Matiašovce,648
Partizánska Ľupča,863
Demänovská Dolina,1109
Pribylina,768
Hybe,688
Svätý Kríž,629
Východná,760
Malé Borové,885
Liptovská Porúbka,681
Swarghat,1220
Smrečany,701
Liptovský Peter,679
Nižná Boca,844
Pavlova Ves,620
Liptovský Ján,635
Blažovce,452
Háj,509
Veľký Čepčín,473
Rudno,489
Jasenovo,503
Jazernica,449
Bodorová,464
Horná Štubňa,624
Borcová,449
Ivančiná,455
Slovenské Pravno,494
Čremošné,649
Liešno,472
Dubové,484
Brieštie,561
Budiš,478
Rakša,502
Zubrohlava,630
Oravská Lesná,858
Zákamenné,680
Oravská Polhora,688
Mútne,787
Mutne,648
Rabča,642
Kláštor pod Znievom,494
Necpaly,500
Turany,401
Rakovo,432
Dolný Kalník,433
Košťany nad Turcom,415
Sučany,392
Sklabiňa,484
Nolčovo,421
Valaská Dubová,662
Ľubochňa,460
Trustpuram,520
Lisková,484
Stankovany,438
Ludrová,567
Inverness Park,45
Pakala,361
"Tame, Arauca",340
"Landing, New Jersey",281
Anglès,12
Bhiwandi,24
Galapagar,881
Parta,99
Vall d'Alcalá,637
Santoña,7
ዓሊግድር,585
Arbianwala,107
Tolipir,2
Pulivendula,272
Railway Koduru,190
Chodavaram,39
Kalayarkoil,94
Košická Nová Ves,261
"Tiller, Oregon",332
Kangazha,81
Náměšť na Hané,247
Tando Muhammad Khan,11
Joginder Nagar,1220
Alagoinha,726
La Cumbre,1500
"Brisco, Indiana",207
Jaunsar-Bawar,2118
Karydi,566
Raducz,140
Darvoz District ,4484
Dhour El Choueir,1200
Velebit,84
Vita,560
Haveli Kharagpur,48
Gangolli,22
Kandi,20
Rașcov,60
Ilandža,59
Brusno,417
Tajov,478
Nemce,410
Oravce,427
Vladimirovac,146
Podkonice,508
Harmanec,441
Kordíky,848
Slovenská Ľupča,374
Pohronský Bukovec,527
Dobrica,57
Malachov,464
Medzibrod,400
Poniky,499
Selce,424
Králiky,668
Kynceľová,382
Lučatín,386
Strelníky,655
Povrazník,644
Priechod,463
Nikolinci,92
Turecká,620
Vlkanová,317
Seleuš,66
Sebedín - Bečov,374
Riečka,478
Môlča,453
Motyčky,678
Moštenica,452
Nové Hony,203
Lakkavalli,300
Welimada,1017
Kfarsghab,1380
Pandua,19
Chandpur,6
Illiana,223
Stok,3497
Port Franks,177
Taki,5
Smiltene,153
"Sheff, Indiana",233
Dobričevo,81
Dupljaja,76
Grebenac,60
Kusić,84
Kruščica,166
Jasenovo,73
Benissa,254
Sant Joan de Vilatorrada,277
Rychvald,220
Stonava,259
Petrovice u Karviné,212
Petřvald,265
Hempstown,280
Dome Fuji Station,3
Haripur,14
Sagunto,49
Bharasar,137
Cañas,643
Cloyne,280
Linjiang,341
Garcibuey,691
Sankaralingapuran,56
Banka,79
Moravský Krumlov,255
Moravský Beroun,525
Domašov nad Bystřicí,510
Moydow,82
Allenwood,80
Castle Gate,1875
Nawsie,1910
Delmiro Gouveia,256
Igaci,250
Korukollu,11
Zlonice,223
Palmeira dos Índios,290
Piaçabuçu,5
Porto Real do Colégio,17
Atalaia do Norte,65
Doubrava,235
Borba,654
Komorní Lhotka,410
Nýdek,410
Eirunepé,340
Humaitá,90
Iranduba,92
Itacoatiara,40
Jutaí,70
Manicoré,32
Nhamundá,50
Pauini,122
Velp,18
Tonantins,62
Zlaté Hory,390
Sankt Paul im Lavanttal,412
Molln,442
Velvary,188
Burton,656
Senohraby,363
Hnojník,365
Košařiska,458
Cheadle,990
Smilovice,390
Vadiveeswaram,15
Míškovice,228
Miskovice,363
"Sunbury, Georgia",6
Kilpedder,100
Kouřim,268
Ropice,310
Soběšovice,330
Sini,183
Soorappallam,5
Horní Jiřetín,280
Mogra,12
Český Brod,219
Lipany,306
Baima,3772
Baimai,4507
Kuzhuppilly,1
''Grand Erg Occidental'',500
Horní Moštěnice,216
Patara,238
Úštěk,242
"Oak Ridge, New Jersey",268
Großmugl,217
Großrußbach,291
Hagenbrunn,216
Stochov,448
Dumra,86
Piro,72
Dobratice,345
Dolní Tošanovice,335
Horní Tošanovice,367
Střítež,365
Řeka,420
Třanovice,320
Vělopolí,370
Cherán,2
Horní Bludovice,280
Fulleda,581
Vardenis,2006
Carnbee,20
Chettikulam pannaiyur,70
Petrijevci,93
Mărculești,90
Vršački Ritovi,76
Geffen,6
Perg,250
Delgany,51
Zeerijp,0
Caraguatay,71
Černošice,211
Těšany,203
Nules,13
Vinaixa,479
Przedecz,112
Fernando de la Mora,143
Progress Station,15
"Coal City, Indiana",199
Mrouj,1220
Hyde Park,201
Nehe,203
Satana ,544
Shenkottai,181
Goyul Township,3300
Sadovo,156
Saedinenie,204
Kermen,160
Gurkovo,350
Siquirres,62
Talamanca,29
Pococí,134
Derge,3
Dingzhou,58
Newmarket,175
Dambal,590
{{PAGENAMEBASE}},1814
Ozerne,219
Gurrampode,209
Fusch an der Großglocknerstraße,813
Tulln an der Donau,180
Kafr El Sheikh,14
Sant Feliu de Codines,480
Centelles,496
"Crown King, Arizona",1759
Volyně,461
Metro,30
Chelakkara,66
Gironella,469
Borredà,854
Sant Jaume de Frontanyà,1072
Terrades,228
Biure,81
Fogars de la Selva,45
Santa Coloma de Queralt,674
Nalec,487
Begues,399
Avinyonet del Penedès,280
Jogighopa,20
Ankara,938
Astoria,7
Abadan,3
Austin,149
Ann Arbor,256
Alicante,3
Ajmer,480
"Alexandria, Indiana",265
Berlin,34
Bitola,650
Bishkek,800
Brasília,1172
Cambridge,12
Columbus,238
Cairo,23
Chojnów,170
"Concord, New Hampshire",83
"Cadillac, Michigan",399
"Cedar Falls, Iowa",268
Casablanca,0
Carson City,1427
"Concord, Michigan",312
Delft,0
"Dedham, Massachusetts",37
Dundee,18
Des Moines,266
Edinburgh,47
"Ellensburg, Washington",470
"Eugene, Oregon",131
Fredericton,20
Fortaleza,16
Fort Wayne,247
"Fairmount, Indiana",263
"Fort Collins, Colorado",1525
Gothenburg,12
Guatemala City,1500
Guangzhou,21
Guernica,10
"Goshen, Indiana",244
Hilversum,15
Houston,32
Honolulu,5
"Jackson, Michigan",284
Jerusalem,754
Jackson,85
Jakarta,8
Kuala Lumpur,63
Karachi,10
Kathmandu,1400
Kalat,2007
"Kansas City, Missouri",277
Lincoln,366
London,11
Lisbon,2
Legnica,113
Luanda,6
Larissa,67
"Lansing, Michigan",260
Lleida,155
Moscow,156
Mumbai,14
Manchester,38
"Marquette, Michigan",203
Marrakesh,466
Mazar-i-Sharif,357
Mecca,277
Nairobi,1795
Nazareth,347
Nashville,169
Neelin,436
Ottawa,70
Oslo,1
Otterlo,28
Portland,15
"Paris, Texas",183
"Parma, Michigan",305
Pretoria,1339
Rome,21
Rio de Janeiro,2
Roswell,1089
Roppongi,16
"Redmond, Washington",13
Sarajevo,550
Shanghai,4
Syracuse,116
Soweto,1632
Skopje,240
Toledo,187
Tirana,110
Toruń,65
"Tecumseh, Michigan",245
Toledo,529
Tel Aviv,5
Victoria,23
Warsaw,78
Whitehorse,670
Windsor,190
"Warren, Michigan",191
"Winona, Mississippi",116
Milan,120
Medina,620
Bucharest,55
Boise,823
Kingston,9
Shravanabelagola,871
Plzeň,310
Donnybrook,11
Nottingham,46
Salzburg,424
"Monterey, California",8
Monterrey,540
"London, Texas",519
